t,best_threshold,log_best_threshold,yield,price,log_price,best_threshold_zscore,log_best_threshold_zscore,yield_zscore,price_zscore,log_price_zscore
2017-07-12,3.3685145089094,1.2144718486408288,1.1319157759166498,2386.6789346825703,7.777658111503498,1.7352033091008208,1.5528577404849953,-0.733746973373711,-0.8456642061239596,-1.8775350941773001
2017-07-13,3.3685145089094,1.2144718486408288,1.0811830380165952,2338.834599532397,7.757408049903565,1.7352033091008208,1.5528577404849953,-0.8883778845335023,-0.8488423181408451,-1.9031226537479775
2017-07-14,3.3685145089094,1.2144718486408288,1.0343116583647203,2218.068399573709,7.70439200583595,1.7352033091008208,1.5528577404849953,-1.031239564050273,-0.8568643443664703,-1.9701126319802529
2017-07-15,2.3893315335005245,0.8710136337259956,1.0,1970.0224148275825,7.585800199752372,0.5414302412040717,0.7097761264275759,-1.135819825553062,-0.8733410687767372,-2.1199627886221366
2017-07-16,2.3048728283654327,0.8350255028508428,1.0,1914.3158613562398,7.557115585229361,0.4384622259589084,0.6214366133585492,-1.135819825553062,-0.8770414371996832,-2.156208075049901
2017-07-17,2.3274850821822675,0.8447883207746534,1.1632638141552694,2226.8543703791893,7.708345272384185,0.4660300046978218,0.645401252827126,-0.6381996814956494,-0.8562807266965987,-1.9651173660250092
2017-07-18,2.338852893808326,0.8496605928530784,1.2039168792987622,2304.677177796126,7.7426958926055445,0.4798890971258185,0.6573611443936271,-0.5142911213670645,-0.8511112620428792,-1.9217126318287114
2017-07-19,2.338852893808326,0.8496605928530784,1.1818500006404933,2262.4342019699784,7.724196593148972,0.4798890971258185,0.6573611443936271,-0.5815498914358687,-0.8539172976723992,-1.9450879645172015
2017-07-20,2.4565441167908784,0.8987555316718465,1.4398029585800798,2836.4441013378264,7.950306469658222,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8157880655853367,-1.659380194881673
2017-07-21,2.4565441167908784,0.8987555316718465,1.4398029585800796,2667.799092515772,7.889009101544869,0.6233726092505415,0.7778737379609144,0.20467814540183205,-0.8269904937817536,-1.7368342831265868
2017-07-22,2.4565441167908784,0.8987555316718465,1.4398029585800798,2828.288843932448,7.947427158976365,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8163297874313917,-1.663018432386825
2017-07-23,2.4565441167908784,0.8987555316718465,1.43980295858008,2756.3507669668084,7.921662897970616,0.6233726092505415,0.7778737379609144,0.2046781454018334,-0.8211083524623094,-1.6955736204303646
2017-07-24,2.4565441167908784,0.8987555316718465,1.4398029585800798,2761.003292649645,7.923349404486359,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.820799303381889,-1.6934425856320279
2017-07-25,2.4565441167908784,0.8987555316718465,1.4398029585800798,2562.1887893065186,7.848617167995744,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.834005773076214,-1.7878726960599325
2017-07-26,2.4565441167908784,0.8987555316718465,1.4398029585800796,2524.004210431266,7.8336018918179,0.6233726092505415,0.7778737379609144,0.20467814540183205,-0.8365422252727437,-1.8068456888962618
2017-07-27,2.4565441167908784,0.8987555316718465,1.43980295858008,2662.327736099671,7.88695610786808,0.6233726092505415,0.7778737379609144,0.2046781454018334,-0.8273539345845172,-1.7394284035317924
2017-07-28,2.4565441167908784,0.8987555316718465,1.4398029585800796,2784.9319075270673,7.931978702341504,0.6233726092505415,0.7778737379609144,0.20467814540183205,-0.819209819104374,-1.6825387831012557
2017-07-29,2.4565441167908784,0.8987555316718465,1.43980295858008,2699.3367794540422,7.9007613845794085,0.6233726092505415,0.7778737379609144,0.2046781454018334,-0.8248955686139424,-1.7219843410286957
2017-07-30,2.4565441167908784,0.8987555316718465,1.4398029585800798,2733.69805187003,7.913410569293749,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8226130837087189,-1.7060010924937994
2017-07-31,2.4565441167908784,0.8987555316718465,1.4398029585800798,2861.355117283544,7.959050608829967,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8141333242480098,-1.6483312812353035
2017-08-01,2.4565441167908784,0.8987555316718465,1.4398029585800798,2731.1154904956556,7.912465409300052,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8227846331578331,-1.7071953771394632
2017-08-02,2.4565441167908784,0.8987555316718465,1.4398029585800796,2700.952019059181,7.90135958949532,0.6233726092505415,0.7778737379609144,0.20467814540183205,-0.8247882745657938,-1.7212284616529303
2017-08-03,2.4565441167908784,0.8987555316718465,1.4398029585800798,2787.864126953994,7.933031035740889,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8190150432386919,-1.6812090763538419
2017-08-04,2.4565441167908784,0.8987555316718465,1.4398029585800798,2855.544813686132,7.9570179317958605,0.6233726092505415,0.7778737379609144,0.20467814540183274,-0.8145192799860659,-1.6508997299504584
2017-08-05,2.7113198250379815,0.9974355366449282,1.5827219395425747,3246.889857691748,8.085452850274581,0.9339829716628479,1.020102033151145,0.6402882299944812,-0.7885237596554149,-1.4886120197965187
2017-08-06,2.4940863746614728,0.9139224796418869,1.5771678148888135,3219.1355141814147,8.076868128636193,0.669142335113306,0.815103812594818,0.6233595288942549,-0.7903673721197556,-1.499459496740524
2017-08-07,2.4940863746614728,0.9139224796418869,1.577167814888813,3394.12505196622,8.129801290126082,0.669142335113306,0.815103812594818,0.6233595288942536,-0.778743501684154,-1.4325742472215148
2017-08-08,2.8245514356564803,1.038349568152502,1.5888664806920016,3418.0657164880467,8.13683009008171,1.0720295376118643,1.1205330789759034,0.6590164917820971,-0.7771532169958993,-1.423692800778131
