t,mvrv,mvrv_z
2011-01-01,2.619131481803395,2.58796363406785
2011-01-02,2.581756878688091,2.55924187845687
2011-01-03,2.534929456301103,2.46835837098897
2011-01-04,2.549886591178045,2.50423468860684
2011-01-05,2.5579278538879473,2.48287005336126
2011-01-06,2.535162016681409,2.45250661174954
2011-01-07,2.682139035590941,2.72186982304861
2011-01-08,2.687546766048119,2.7309532176639397
2011-01-09,2.737254536478169,2.70457205619822
2011-01-10,2.744641404121742,2.71266370541909
2011-01-11,2.684733522174883,2.6627501669250098
2011-01-12,2.680109070102036,2.53616533771708
2011-01-13,2.9726869748590623,2.4575478753211
2011-01-14,2.989002791208429,3.44940529828508
2011-01-15,3.096904218988178,3.22780549859149
2011-01-16,3.085625150563537,3.1827366800345
2011-01-17,2.969600038750786,2.68259933936161
2011-01-18,2.658179900783841,2.22322004480762
2011-01-19,2.399268986469375,2.19867498792138
2011-01-20,2.585901209829104,3.09206037818846
2011-01-21,2.941156452210323,3.40346790867898
2011-01-22,3.165740608243263,3.63046848547168
2011-01-23,3.257051168951472,3.5398289427884198
2011-01-24,3.009131852133618,3.22906451421152
2011-01-25,3.049293213905552,3.07698962151919
2011-01-26,2.958954547979066,3.06707479029953
2011-01-27,2.7277704427230702,2.9673448423846303
2011-01-28,2.806932470869142,3.07787108221432
2011-01-29,2.831305346047591,3.07013858448297
2011-01-30,2.935371439002917,3.46478086423161
2011-01-31,3.086976823429562,4.12051119584811
2011-02-01,4.063888316638304,5.5629889992961
2011-02-02,4.266188789420168,5.4124981505897605
2011-02-03,4.148533677295283,5.05384594445108
2011-02-04,4.307101713489821,5.91496536729151
2011-02-05,4.888772422777307,6.48881685633479
2011-02-06,4.855658529770592,6.09667948809233
2011-02-07,4.555234516756478,5.72579967336471
2011-02-08,4.570901016754782,5.75295091085342
2011-02-09,4.575408811834874,6.77311481198393
2011-02-10,5.079261062320309,5.66045262174713
2011-02-11,4.6897837390249055,6.11158730877236
2011-02-12,4.911381548861004,5.9282320865073
2011-02-13,4.870320567716342,5.49926582380088
2011-02-14,4.747799038178635,5.43153522045625
2011-02-15,4.663753280323384,5.07346264081359
2011-02-16,4.582739815174001,4.76961535649279
2011-02-17,4.563434821063759,4.67930797314493
2011-02-18,4.339166897546247,3.75771816818248
2011-02-19,4.028446538149027,3.9741800785184003
2011-02-20,3.69717785390905,3.36528971882375
2011-02-21,3.607236592447176,3.23252294174668
2011-02-22,3.590750761020438,3.52923307461879
2011-02-23,3.767250101701894,3.4604442024971798
2011-02-24,3.868570719266237,3.88012815970007
2011-02-25,3.981355265248369,3.38299860782677
2011-02-26,3.794194536641807,3.53133916999094
2011-02-27,3.693924002795253,3.11896090943059
2011-02-28,3.4731009078204,2.99356439960752
2011-03-01,3.174978902819315,3.03842654444504
2011-03-02,3.155270378446661,3.09865475071612
2011-03-03,3.179714148347972,3.05737121630695
2011-03-04,3.097077575131778,2.83717429941353
2011-03-05,3.049894420009814,2.83069168191349
2011-03-06,2.836758885622861,2.6906392956572702
2011-03-07,2.920666482300036,2.65632935745804
2011-03-08,2.909003995362503,2.56164203481263
2011-03-09,2.84874637059934,2.51916800380031
2011-03-10,2.857718163980345,2.80963573995313
2011-03-11,2.951822868494582,2.55622195159459
2011-03-12,2.934559275048768,2.69652864934875
2011-03-13,2.9462786877962133,2.56447500679394
2011-03-14,2.860095253678348,2.55234540164614
2011-03-15,2.835634267986687,2.43207186163932
2011-03-16,2.728918961130799,2.35965821940571
2011-03-17,2.652777667071566,2.19436873833322
2011-03-18,2.529368715646995,2.14827177799224
2011-03-19,2.42184789852243,1.92042857480181
2011-03-20,2.421521757252738,1.81049324161602
2011-03-21,2.37249075863029,1.87785136435657
2011-03-22,2.439298439694144,2.08533984272569
2011-03-23,2.590149317779985,2.24178343779007
2011-03-24,2.6307140601874393,2.28971729746994
2011-03-25,2.689545584621039,2.34374768835982
2011-03-26,2.651313848315144,2.20280967101173
2011-03-27,2.576904251642927,2.07482954133586
2011-03-28,2.4562735664248923,1.9460277369052101
2011-03-29,2.3878352305131543,1.9109916179311401
2011-03-30,2.3763136444452853,1.8923662214839498
2011-03-31,2.380981911331601,1.86102389513935
2011-04-01,2.351613103516741,1.8095036493504701
2011-04-02,2.36968348170278,1.8342308199961601
2011-04-03,2.3438731952892082,1.8139705619467401
2011-04-04,2.069766697705264,1.4025595586248
2011-04-05,1.956676365701782,1.5193730678249802
2011-04-06,2.129788872502502,1.63649784891238
2011-04-07,2.2384662758958243,1.68622649174456
2011-04-08,2.269461109529131,1.66389351278599
2011-04-09,2.219261884837164,1.64433828372686
2011-04-10,2.194524883835748,1.60013798337545
